table_path,public_field_name,row_count,missing_count,missing_rate,unique_count,inferred_type
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_BRAIN,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_LIVER,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_LUNG,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_LYMPH,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_OTHER,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_PLEURA,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,DMETS_DX_SUBC_TISSUE,1109,612,0.551849,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,STAGE_DX,1109,0,0.0,5,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,BIRTH_YEAR,1109,0,0.0,60,integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,CENTER,1109,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_RT_PT,1109,0,0.0,8,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_CANCERS,1109,0,0.0,5,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_CANCERS_INDEX,1109,0,0.0,2,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_IMAGING_REPORTS_PT,1109,0,0.0,63,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_MD_NOTES_PT,1109,0,0.0,66,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_TM_CA19_9_PT,1109,0,0.0,72,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_TM_CEA_PT,1109,0,0.0,51,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_TM_PT,1109,0,0.0,91,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_PATH_REPORTS_PT,1109,0,0.0,18,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_REGIMENS_PT,1109,0,0.0,14,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_SCANS_CT_PT,1109,0,0.0,53,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_SCANS_MRI_PT,1109,0,0.0,23,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,N_SCANS_PET_CT_PT,1109,0,0.0,12,mixed_integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,ETHNICITY,1109,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PRIMARY_RACE,1109,0,0.0,6,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,SEX,1109,0,0.0,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,1130,0,0.0,1130,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,ONCOTREE_CODE,1130,0,0.0,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SEQ_ASSAY_ID,1130,0,0.0,14,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,AGE_AT_SEQUENCING,1130,0,0.0,57,integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,1130,0,0.0,1109,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_TYPE_DETAILED,1130,4,0.00354,4,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PDL1_POSITIVE_ANY,1130,1119,0.990265,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PDL1_TESTING,1130,0,0.0,2,boolean
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,CPT_SEQ_DATE,1130,2,0.00177,6,integer
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,1109,0,0.0,1109,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_I_ADV_STATUS,1109,88,0.079351,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_M_ADV_STATUS,1109,88,0.079351,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_I_ADV_MONTHS,1109,88,0.079351,502,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PFS_M_ADV_MONTHS,1109,88,0.079351,540,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,OS_STATUS,1109,0,0.0,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,OS_MONTHS,1109,0,0.0,810,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,1002,0,0.0,1002,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_STATUS,1002,818,0.816367,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_IMAGING_STATUS,1002,906,0.904192,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_MED_STATUS,1002,906,0.904192,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_MONTHS,1002,818,0.816367,175,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_IMAGING_MONTHS,1002,906,0.904192,86,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_MED_MONTHS,1002,906,0.904192,84,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_961_STATUS,1002,892,0.89022,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_IMAGING_STATUS,1002,944,0.942116,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_MED_STATUS,1002,944,0.942116,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_961_MONTHS,1002,892,0.89022,108,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_IMAGING_MONTHS,1002,944,0.942116,54,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_961_MED_MONTHS,1002,944,0.942116,52,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_1181_STATUS,1002,986,0.984032,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_IMAGING_STATUS,1002,988,0.986028,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_MED_STATUS,1002,988,0.986028,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_1794_1181_MONTHS,1002,986,0.984032,16,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_IMAGING_MONTHS,1002,988,0.986028,14,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_1794_1181_MED_MONTHS,1002,988,0.986028,14,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_376_961_STATUS,1002,967,0.96507,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_IMAGING_STATUS,1002,970,0.968064,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_MED_STATUS,1002,970,0.968064,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_376_961_MONTHS,1002,967,0.96507,35,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_IMAGING_MONTHS,1002,970,0.968064,29,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_MED_MONTHS,1002,970,0.968064,29,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_376_961_2688_STATUS,1002,990,0.988024,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_2688_IMAGING_STATUS,1002,991,0.989022,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_2688_MED_STATUS,1002,991,0.989022,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_376_961_2688_MONTHS,1002,990,0.988024,12,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_2688_IMAGING_MONTHS,1002,991,0.989022,11,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_376_961_2688_MED_MONTHS,1002,991,0.989022,11,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_STATUS,1002,976,0.974052,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_IMAGING_STATUS,1002,989,0.987026,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_MED_STATUS,1002,989,0.987026,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_MONTHS,1002,976,0.974052,26,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_IMAGING_MONTHS,1002,989,0.987026,13,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_MED_MONTHS,1002,989,0.987026,13,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1381_607_STATUS,1002,902,0.9002,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_IMAGING_STATUS,1002,906,0.904192,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_MED_STATUS,1002,906,0.904192,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1381_607_MONTHS,1002,902,0.9002,95,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_IMAGING_MONTHS,1002,906,0.904192,79,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_MED_MONTHS,1002,906,0.904192,72,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1381_607_1181_STATUS,1002,395,0.394212,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_1181_IMAGING_STATUS,1002,589,0.587824,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_1181_MED_STATUS,1002,589,0.587824,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1381_607_1181_MONTHS,1002,395,0.394212,493,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_1181_IMAGING_MONTHS,1002,589,0.587824,266,mixed_float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_607_1181_MED_MONTHS,1002,589,0.587824,259,mixed_float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1381_1181_STATUS,1002,994,0.992016,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_1181_IMAGING_STATUS,1002,994,0.992016,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_1181_MED_STATUS,1002,994,0.992016,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1381_1181_MONTHS,1002,994,0.992016,8,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_1181_IMAGING_MONTHS,1002,994,0.992016,8,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1381_1181_MED_MONTHS,1002,994,0.992016,8,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_82676_STATUS,1002,984,0.982036,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_IMAGING_STATUS,1002,985,0.983034,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_MED_STATUS,1002,985,0.983034,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_82676_MONTHS,1002,984,0.982036,17,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_IMAGING_MONTHS,1002,985,0.983034,16,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_MED_MONTHS,1002,985,0.983034,14,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_82676_607_STATUS,1002,920,0.918164,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_607_IMAGING_STATUS,1002,924,0.922156,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_607_MED_STATUS,1002,924,0.922156,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_82676_607_MONTHS,1002,920,0.918164,76,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_607_IMAGING_MONTHS,1002,924,0.922156,59,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_82676_607_MED_MONTHS,1002,924,0.922156,62,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_607_STATUS,1002,964,0.962076,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_IMAGING_STATUS,1002,968,0.966068,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_MED_STATUS,1002,968,0.966068,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_607_MONTHS,1002,964,0.962076,36,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_IMAGING_MONTHS,1002,968,0.966068,31,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_MED_MONTHS,1002,968,0.966068,30,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_607_1181_STATUS,1002,841,0.839321,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_1181_IMAGING_STATUS,1002,851,0.849301,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_1181_MED_STATUS,1002,851,0.849301,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_607_1181_MONTHS,1002,841,0.839321,144,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_1181_IMAGING_MONTHS,1002,851,0.849301,100,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_607_1181_MED_MONTHS,1002,851,0.849301,98,float
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,OS_505_1181_STATUS,1002,992,0.99002,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1181_IMAGING_STATUS,1002,992,0.99002,2,string
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PFS_505_1181_MED_STATUS,1002,992,0.99002,2,string
