source_table,source_field,target_table,target_field,relationship_type,evidence,caution
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_cancer_diagnosis.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_imaging.txt,PATIENT_ID,shared_identifier_candidate,1094 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_labtest.txt,PATIENT_ID,shared_identifier_candidate,937 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_medonc.txt,PATIENT_ID,shared_identifier_candidate,1100 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_pathology.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_treatment.txt,PATIENT_ID,shared_identifier_candidate,1034 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,shared_identifier_candidate,1087 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_sv.txt,Sample_Id,shared_identifier_candidate,194 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,SAMPLE_ID,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,SAMPLE_ID,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,cpt_genie_sample_id,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_cancer_diagnosis.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_imaging.txt,PATIENT_ID,shared_identifier_candidate,1094 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_labtest.txt,PATIENT_ID,shared_identifier_candidate,937 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_medonc.txt,PATIENT_ID,shared_identifier_candidate,1100 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_pathology.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_treatment.txt,PATIENT_ID,shared_identifier_candidate,1034 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_cancer_diagnosis.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_imaging.txt,PATIENT_ID,shared_identifier_candidate,1094 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_labtest.txt,PATIENT_ID,shared_identifier_candidate,937 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_medonc.txt,PATIENT_ID,shared_identifier_candidate,1100 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_pathology.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,PATIENT_ID,shared_identifier_candidate,1109 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_treatment.txt,PATIENT_ID,shared_identifier_candidate,1034 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_patient.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_cancer_diagnosis.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_imaging.txt,PATIENT_ID,shared_identifier_candidate,994 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_labtest.txt,PATIENT_ID,shared_identifier_candidate,874 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_medonc.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_pathology.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_supp_survival_treatment.txt,PATIENT_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_treatment.txt,PATIENT_ID,shared_identifier_candidate,1002 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,shared_identifier_candidate,1087 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_sv.txt,Sample_Id,shared_identifier_candidate,194 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,SAMPLE_ID,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,SAMPLE_ID,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/clinical_data/cancer_panel_test_level_dataset.csv,cpt_genie_sample_id,shared_identifier_candidate,1130 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_clinical_sample.txt,SAMPLE_ID,shared_identifier_candidate,1087 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_gene_matrix.txt,SAMPLE_ID,shared_identifier_candidate,1087 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_sv.txt,Sample_Id,shared_identifier_candidate,194 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sample_acquisition.txt,SAMPLE_ID,shared_identifier_candidate,1087 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_mutations_extended.txt,Tumor_Sample_Barcode,data/raw/AACR GENIE Biopharma Collaborative Public/Data Releases/PANC/1.0-public/cBioPortal_files/data_timeline_sequencing.txt,SAMPLE_ID,shared_identifier_candidate,1087 overlapping distinct non-missing values,Shared identifiers require dictionary confirmation before joins.
